Epm_nEng_100ms,VehV_v_100ms,ActMod_trqInr_100ms,RngMod_trqCrSmin_100ms,CoVeh_trqAcs_100ms,Clth_st_100ms,CoEng_st_100ms,Com_rTSC1VRVCURtdrTq_100ms,Com_rTSC1VRRDTrqReq_100ms,RoadSlope_100ms
1154.5,41.37,2632.0,-112.0,9.999747,0,3,0,0,4.8
1188.0,73.53,0.0,-196.0,9.999747,0,3,0,0,-1.0
912.0,68.15,1571.5,-140.0,9.999747,0,3,0,0,0.6
1064.5,54.37,2632.0,-168.0,9.999747,0,3,0,0,1.7
935.0,69.75,1435.041,-168.0,9.999747,0,3,0,0,-0.4
1088.5,66.9,257.6067,-140.0,9.999747,0,3,0,0,1.5
1154.0,71.51,1487.5,-168.0,9.999747,0,3,0,0,1.3
1001.5,73.38,0.0,-140.0,9.999747,0,3,0,0,-2.7
1174.5,72.8,815.5,-168.0,9.999747,0,3,0,0,-1.0
1152.0,70.69,2604.0,-168.0,9.999747,0,3,0,0,0.8
1254.0,77.27,0.0,-196.0,9.999747,0,3,0,0,-2.7
911.5,67.84,2096.286,-168.0,9.999747,0,3,0,0,0.6
1348.0,83.1,0.0,-224.0,9.999747,0,3,0,0,-2.7
892.0,66.07,143.5,-168.0,9.999747,0,3,0,0,-0.8
1111.5,47.31,2019.5,-140.0,9.999747,0,3,0,0,1.7
1049.0,64.44,2161.408,-168.0,9.999747,0,3,0,0,2.7
1161.5,71.63,1151.5,-168.0,9.999747,0,3,0,0,0.6
1130.5,48.75,2632.0,-112.0,9.999747,0,3,0,0,3.8
1184.5,61.64,2624.106,-168.0,9.999747,0,3,0,0,3.4
1192.0,88.79,0.0,-168.0,9.999747,0,3,0,0,-2.5
1003.5,51.44,685.4315,-140.0,9.999747,0,3,0,0,0.0
1103.0,81.49,0.0,-168.0,9.999747,0,3,0,0,-4.0
892.0,66.7,401.9602,-168.0,9.999747,0,3,0,0,0.0
1289.0,45.25,2632.0,-140.0,9.999747,0,3,0,0,4.2
1094.5,68.1,31.5,-196.0,9.999747,0,3,0,0,-0.6
1313.0,80.81,0.0,-196.0,9.999747,0,3,0,0,-2.7
1160.5,71.73,1347.5,-168.0,9.999747,0,3,0,0,1.3
1137.5,70.76,2103.5,-168.0,9.999747,0,3,0,0,2.1
1158.0,71.8,815.5,-196.0,9.999747,0,3,0,0,0.2
1070.5,55.55,2355.5,-168.0,9.999747,0,3,0,0,2.3
1133.0,48.6,2632.0,-112.0,9.999747,0,3,0,0,2.9
1145.5,70.99,2047.5,-168.0,9.999747,0,3,0,0,2.5
1272.5,54.63,1380.584,-196.0,9.999747,0,3,0,0,2.1
1144.5,58.46,1289.847,-140.0,9.999747,0,3,0,0,-1.5
933.0,68.23,0.0,-140.0,9.999747,0,3,0,0,-2.7
1264.5,44.87,153.9041,-168.0,9.999747,0,3,0,0,4.8
876.5,65.41,1879.5,-140.0,9.999747,0,3,0,0,1.0
775.0,61.91,108.9869,-140.0,9.999747,0,3,0,0,2.7
1156.5,70.1,2604.0,-168.0,9.999747,0,3,0,0,-1.7
1134.5,48.75,2632.0,-112.0,9.999747,0,3,0,0,3.8
1182.5,50.65,2632.0,-140.0,9.999747,0,3,0,0,3.8
892.5,66.55,479.5,-168.0,9.999747,0,3,0,0,0.0
1008.5,75.25,0.0,-168.0,9.999747,0,3,0,0,-1.9
1240.5,51.65,2632.0,-112.0,9.999747,0,3,0,0,1.7
1132.5,48.7,2632.0,-112.0,9.999747,0,3,0,0,3.8
1142.5,60.2,37.85318,-140.0,9.999747,0,3,0,0,-1.5
892.5,66.94,899.5,-168.0,9.999747,0,3,0,0,-0.2
1165.5,41.66,2632.0,-112.0,9.999747,0,3,0,0,4.6
1378.5,84.7,0.0,-224.0,9.999747,0,3,0,0,-2.7
1151.0,71.0,2439.5,-140.0,9.999747,0,3,0,0,2.5
1031.0,65.37,0.0,-140.0,9.999747,0,3,0,0,3.8
1152.5,71.03,2411.5,-140.0,9.999747,0,3,0,0,2.5
1162.0,71.8,2131.5,-168.0,9.999747,0,3,0,0,1.7
1240.0,76.61,0.0,-196.0,9.999747,0,3,0,0,-3.1
1218.5,74.99,0.0,-196.0,9.999747,0,3,0,0,-2.1
1158.0,71.75,843.5,-196.0,9.999747,0,3,0,0,0.2
916.0,67.92,2520.0,-140.0,9.999747,0,3,0,0,1.0
1157.5,71.68,1739.5,-168.0,9.999747,0,3,0,0,1.5
1158.5,71.74,2159.5,-168.0,9.999747,0,3,0,0,1.7
1163.5,71.9,1823.5,-168.0,9.999747,0,3,0,0,1.5
1006.0,75.2,0.0,-168.0,9.999747,0,3,0,0,-0.8
1219.5,75.14,0.0,-196.0,9.999747,0,3,0,0,-2.489201323
904.5,67.29,2327.5,-140.0,9.999747,0,3,0,0,0.6
1009.0,75.29,0.0,-168.0,9.999747,0,3,0,0,-1.9
1265.0,44.33,2632.0,-140.0,9.999747,0,3,0,0,3.8
1437.0,41.98,2688.0,-140.0,9.999747,0,3,0,0,4.8
966.0,72.63,0.0,-140.0,9.999747,0,3,0,0,-2.7
1159.0,71.9,759.5,-196.0,9.999747,0,3,0,0,0.2
1154.5,71.26,2159.5,-168.0,9.999747,0,3,0,0,1.9
1232.0,63.0,2604.0,-168.0,9.999747,0,3,0,0,1.7
1200.0,74.48,759.5,-196.0,9.999747,0,3,0,0,0.4
1257.5,44.5,2632.0,-140.0,9.999747,0,3,0,0,4.8
1098.5,56.79,2271.5,-168.0,9.999747,0,3,0,0,2.3
945.0,70.64,31.5,-168.0,9.999747,0,3,0,0,-1.3
915.0,68.17,1683.5,-140.0,9.999747,0,3,0,0,0.6
1017.5,74.89,0.0,-140.0,9.999747,0,3,0,0,-2.7
1070.5,55.48,2355.5,-168.0,9.999747,0,3,0,0,2.3
1177.5,60.51,2579.5,-168.0,9.999747,0,3,0,0,2.7
1317.0,46.54,2635.5,-140.0,9.999747,0,3,0,0,4.2
913.0,68.09,1599.5,-140.0,9.999747,0,3,0,0,0.6
937.0,70.76,115.5,-168.0,9.999747,0,3,0,0,-1.3
690.0,70.62,0.0,-95.38736,9.999747,0,3,0,0,-0.8
1158.0,71.68,1739.5,-168.0,9.999747,0,3,0,0,1.5
1161.0,41.53,2632.0,-112.0,9.999747,0,3,0,0,4.2
1204.5,61.63,2523.5,-168.0,9.999747,0,3,0,0,1.043376002
904.0,67.4,1263.5,-140.0,9.999747,0,3,0,0,0.0
1150.5,49.69,2153.217,-140.0,9.999747,0,3,0,0,2.9
1151.5,70.95,2467.5,-168.0,9.999747,0,3,0,0,2.5
921.5,68.8,1431.5,-140.0,9.999747,0,3,0,0,0.6
1207.0,75.0,1181.664,-196.0,9.999747,0,3,0,0,0.4
1182.0,73.29,535.5,-196.0,9.999747,0,3,0,0,0.2
